@RELATION "Wines dataset"

@ATTRIBUTE name STRING
@ATTRIBUTE price NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE region STRING
@ATTRIBUTE sweetness {dry, semi-dry, semi-sweet, sweet}
@ATTRIBUTE grape STRING
@ATTRIBUTE manufacturer STRING
@ATTRIBUTE strength NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
'Vino Piere Sauvignon, Vie di Romans, 2022',6169,5.0,Italija,Friuli-Venetsija-Dzhulija,dry,'sovin\'on blan 100\%','Vie di Romans',14.5,0.75
'Vino Carolina Reserva Sauvignon Blanc, Santa Carolina, 2023',1490,4.4,Chili,Akonkagua,dry,'sovin\'on blan 100\%','Santa Carolina',13.5,0.75
'Vino Savigny-les-Beaune Les Goudelettes, Domaine Antonin Guyon, 2022',12990,4.8,Frantsija,Burgundija,dry,'pino nuar 100\%','Domaine Antonin Guyon',13.5,0.75
'Vino Hans Baer Riesling, Weinkellerei Hechtsheim, 2021',1240,4.6,Germanija,Rejngessen,semi-dry,'risling 100\%','Weinkellerei Hechtsheim',11.5,0.75
'Vino Chemin des Papes Cotes-du-Rhone Villages, Les Grands Chais de France, 2020',2290,4.4,Frantsija,'Dolina Rony',dry,murvedr,'Les Grands Chais de France',14.5,0.75
'Vino Tenuta Perano Chianti Classico Riserva, Frescobaldi, 2019',5018,4.8,Italija,Toskana,dry,merlo,Frescobaldi,14.5,0.75
'Vino Granite Syrah, Mullineux & Leeu, 2020',21490,0.0,'Juzhnaja Afrika',Svortlend,dry,'sira 100\%','Mullineux & Leeu',13.5,0.75
'Vino Saint-Joseph Blanc, Guigal, 2020',7990,4.3,Frantsija,'Dolina Rony',dry,'russan 5\%',Guigal,14.0,0.75
'Vino El Cabronet, Democratic Wines, 2019',2490,4.7,Ispanija,Katalonija,dry,merlo,'Democratic Wines',13.0,0.75
'Vino Chateau Lafite Rothschild, 2006',264990,5.0,Frantsija,Bordo,dry,'kaberne fran 2\%','Chateau Lafite Rothschild',12.5,0.75
'Vino Podere Montepulciano d\'Abruzzo, Umani Ronchi, 2022, 1.5 l',4290,4.8,Italija,Abrutstso,dry,'montepul\'chano 100\%','Umani Ronchi',13.0,1.5
'Vino Barbera d’Alba, Pio Cesare, 2022',5290,4.9,Italija,'P\'emont',dry,'barbera 100\%','Pio Cesare',14.5,0.75
'Vino Gavi Villa Sparina, 2015',4290,4.7,Italija,'P\'emont',dry,'korteze 100\%','Villa Sparina',13.0,0.75
'Vino Saint-Joseph Lyseras, Yves Cuilleron, 2022, 0.375 l',4290,4.5,Frantsija,'Dolina Rony',dry,russan,'Yves Cuilleron',13.0,0.375
'Vino Chateau des Graves Rouge, Vignobles Butler, 2016',3890,4.5,Frantsija,Bordo,dry,'kaberne sovin\'on 30\%','Vignobles Butler',13.0,0.75
'Vino Twelftree Grenache Chaffeys Road Seaview, Two Hands, 2020',9490,0.0,Avstralija,'Juzhnaja Avstralija',dry,grenash,'Two Hands',14.4,0.75
'Vino Riesling Jules Geyl, Domaine Bott-Geyl, 2021',4990,4.4,Frantsija,'El\'zas',semi-dry,'risling 100\%','Domaine Bott-Geyl',13.0,0.75
'Vino Chablis Premier Cru Montee de Tonnerre, Jean-Marc Brocard (Domaine Sainte-Claire), 2020',12490,5.0,Frantsija,Burgundija,dry,'shardone 100\%','Jean-Marc Brocard (Domaine Sainte-Claire)',13.0,0.75
'Vino Cumaro, Umani Ronchi, 2019',6490,4.9,Italija,Marke,dry,'montepul\'chano 100\%','Umani Ronchi',14.0,0.75
'Vino Pfefferer + Pfefferer Pink v podarochnoj upakovke, Colterenzio',4990,0.0,Italija,'Trentino-Al\'to Adidzhe',?,?,Colterenzio,?,0.75
'Vino Sauvignon Blanc, Marco Felluga, 2023',4790,3.6,Italija,Friuli-Venetsija-Dzhulija,dry,'sovin\'on blan 100\%','Marco Felluga',13.0,0.75
'Vino Casa Albali Garnacha Rose, Felix Solis, 2022',968,4.6,Ispanija,'Kastilija La Mancha',semi-dry,garnacha,'Felix Solis',12.5,0.75
'Vino Tenuta Regaleali Chardonnay Vigna San Francesco, Tasca d\'Almerita, 2021',6993,4.7,Italija,Sitsilija,dry,'shardone 100\%','Tasca d\'Almerita',14.0,0.75
'Vino Guidalberto, Tenuta San Guido, 2021',12490,4.8,Italija,Toskana,dry,'merlo 40\%','Tenuta San Guido',13.5,0.75
'Vino Pomino Bianco, Frescobaldi, 2023',2993,4.7,Italija,Toskana,semi-dry,'pino b\'janko',Frescobaldi,12.5,0.75
'Vino Langhe Nebbiolo, Cascina delle Rose, 2021',7290,0.0,Italija,'P\'emont',dry,'nebbiolo 100\%','Cascina delle Rose',13.5,0.75
'Vino Barolo Bussia, Giacomo Fenocchio, 2018',13990,5.0,Italija,'P\'emont',dry,'nebbiolo 100\%','Giacomo Fenocchio',14.5,0.75
'Vino Leeu Passant Cabernet Sauvignon, Mullineux & Leeu, 2020',8490,5.0,'Juzhnaja Afrika',Stellenbosh,dry,'kaberne sovin\'on 100\%','Mullineux & Leeu',13.5,0.75
'Vino Finca Montico Organic, Marques de Riscal, 2022',2919,4.2,Ispanija,'Kastilija i Leon',dry,'verdeho 100\%','Marques de Riscal',13.0,0.75
'Vino Chateau Calon Segur, 2003, 1.5 l',104990,0.0,Frantsija,Bordo,dry,'pti verdo','Chateau Calon Segur',13.0,1.5
'Vino Chateau Pichon Longueville Comtesse de Lalande Grand Cru Classe (Pauillac), 2001, 5 l',489990,0.0,Frantsija,Bordo,dry,'pti verdo 14\%','Chateau Pichon Longueville Comtesse de Lalande',13.0,5.0
'Vino Ornellaia, 2020',59990,5.0,Italija,Toskana,dry,'pti verdo 5\%',Ornellaia,14.5,0.75
'Vino Donauriesling Sandgrube 13, Winzer Krems, 2021',3290,4.8,Avstrija,'Nizhnjaja Avstrija',semi-dry,'donaurisling 100\%','Winzer Krems',13.5,0.75
